,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Киргизия,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,0,0,#DIV/0!,4,0,0,#DIV/0!,3,3,#DIV/0!,1,4,#DIV/0!,,0,4,#DIV/0!,,0,4,#DIV/0!,,0,4,#DIV/0!,,0,4,#DIV/0!,,1,5,"4,3",,0,5,"4,3",,0,5,"4,3",,0,5,"4,3",,1,6,"4,4",,0,6,"4,4",,1,7,"4,4",,0,7,"4,4",,0,7,"1,13",,1,8,"4,50",,0,8,"4,50",,0,8,"4,50",,0,8,"4,50",,2,10,"4,6",,0,10,"4,6",,2,12,"4,7",,0,12,"4,6",,0,12,"4,6",,,12,"4,6",,,12,"4,6",
Бишкек,https://yandex.ru/maps/org/stalmetgrupp/175467360016/reviews/,"улица Суюмбаева, 41",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,,1,,Инна,1,2,"4,3",Инна,,2,"4,3",-,,2,"4,3",-,,2,"4,3",,1,3,"4,4",Иван,,3,"4,4",-,1,4,"4,4",Инна,,4,"4,4",-,,4,"4,5",-,1,5,"4,5",Иван,,5,"4,5",-,,5,"4,5",,,5,"4,5",,2,7,"4,6",Инна,,7,"4,6",,2,9,"4,7",Инна,,9,"4,6",,,9,"4,6",,,9,"4,6",Инна,,9,"4,6",
Ош,https://yandex.ru/maps/org/stalmetgrupp/98941568385/reviews/,"улица Аскара Шакирова, 108А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,1,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Джалал-Абад,https://yandex.ru/maps/org/stalmetgrupp/69821197088/reviews/,"улица Ж. Бакиева, 16",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Каракол,https://yandex.ru/maps/org/stalmetgrupp/90407173136/reviews/,"улица Токтогула, 261/25А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Узбекистан,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,0,0,#DIV/0!,3,0,0,#DIV/0!,2,2,#DIV/0!,1,3,#DIV/0!,,1,4,#DIV/0!,,0,4,#DIV/0!,,0,4,#DIV/0!,,0,4,#DIV/0!,,1,5,"4,3",,0,5,"4,3",,0,5,"4,3",,0,5,"4,3",,1,6,"4,3",,0,6,"4,3",,1,7,"4,3",,0,7,"4,3",,0,7,"1,53",,1,8,"4,60",,0,8,"4,60",,0,8,"4,60",,0,8,"4,50",,1,9,"4,50",,2,11,"4,50",,0,11,"4,50",,0,11,"4,50",,0,11,"4,50",,,11,"4,50",,,11,"4,50",
Ташкент,https://yandex.ru/maps/org/stalmetgrupp/85356175541/reviews/,"улица Шота Руставели, 150",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,1,2,,Инна,,2,,-,,2,,Инна,,2,,Инна,1,3,"4,3",Инна,,3,"4,3",-,,3,"4,3",-,,3,"4,3",,1,4,"4,3",Иван,,4,"4,3",-,1,5,"4,3",Инна,,5,"4,3",-,,5,"4,6",-,1,6,"4,6",Иван,,6,"4,6",-,,6,"4,6",,,6,"4,5",,1,7,"4,5",Инна,2,9,"4,5",Иван,,9,"4,5",,,9,"4,5",,,9,"4,5",,,9,"4,5",Инна,,9,"4,5",
Наманган,https://yandex.ru/maps/org/stalmetgrupp/129575744421/reviews/,"улица Хамрох, 96",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,1,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Самарканд,https://yandex.ru/maps/org/stalmetgrupp/34545773619/reviews/,"площадь Куксарай, 1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Google (29),,  ,,,2,5,4,3,3,0,,,,,,,,,,,,,,,,2,,,,,,,5,5,5,22,,16,16,2,38,,13,16,0,54,,10,10,0,64,,12,3,29,43,,10,10,10,50,,11,11,0,61,,12,9,7,70,,12,9,0,79,,10,10,10,89,,10,9,6,98,,7,2,8,100,,5,5,4,105,,7,7,6,112,,3,3,0,115,,7,1,0,116,,7,5,13,121,,6,5,3,126,,10,3,129,,8,2,131,,6,5,136,"4,98",6,0,136,"4,98",5,1,137,"4,98",0,139,"4,98",3,142,"4,98",,6,145,"4,98",,11,156,"4,99",,0,156,"4,99",,1,157,"4,99",,0,157,"4,99",,1,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,0,165,"4,99",,7,172,"4,99",,3,175,"4,99",,3,178,"4,99",,0,178,"4,99",,0,178,"4,99",
Россия,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,35,"4,94",6,0,35,"4,94",2,1,36,"4,94",0,36,"4,94",1,37,"4,94",,2,36,"4,94",,6,42,"4,96",,0,42,"4,96",,0,42,"4,96",,0,42,"4,96",,1,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,0,43,"4,96",,7,50,"4,96",,0,50,"4,96",,3,53,"4,96",,,53,"4,96",,,53,"4,96",
Екатеринбург,"https://www.google.ru/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@56.8703019,60.6652673,17z/data=!4m8!3m7!1s0x43c17277af2ed41f:0x2bb7b8bea0983127!8m2!3d56.8699711!4d60.6517889!9m1!1b1!16s%2Fg%2F1hf2l4gsp?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","улица Данилы Зверева, 31литS",,,2,4,2,2,,,1,0,1,4,0,"4,2",8,8,"4,5",11,11,"4,6",11,7,"4,6",,11,7,"4,6",11,9,"4,6",,,,11,"4,6",0,0,0,11,"4,6",,0,,11,3,,,,11,3,,,,2,3,,,,2,3,,,,2,3,,,,2,3,,,,2,3,,,,2,,,,,2,3,2,1,,3,"3,7",1,1,1,4,"3,7",2,2,1,6,4,3,3,,9,"4,2",2,1,,10,"4,5",2,1,6,11,"4,5",1,1,,12,"4,6",1,0,12,"4,6",1,0,12,"4,6",1,1,13,"4,6",1,,13,"4,6",1,,13,"4,6",,13,"4,6",1,14,"4,6",Инна,,11,"4,6",-,1,12,"4,7",Алексей,,12,"4,7",,,12,"4,7",Алексей,,12,"4,7",Алексей,1,13,"4,7",Иван,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,1,14,"4,7",Инна,,14,"4,7",,1,15,"4,7",Инна,,15,"4,7",Инна,,15,"4,7",
Челябинск,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@55.1802652,61.3671648,17z/data=!4m8!3m7!1s0x43c592d42d11c0dd:0x647ce48f4faa4896!8m2!3d55.1802652!4d61.3671648!9m1!1b1!16s%2Fg%2F11hcdsd919?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Карла Маркса, 52",,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,,,,0,,0,0,0,0,0,,0,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,,0,,1,1,нет возможности,1,5,1,1,1,2,5,,,,2,5,1,0,,2,5,1,1,,3,5,1,1,,4,5,1,1,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,5,5,,5,5,Алексей,,5,5,Алексей,1,6,5,Алексей,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,Инна,,6,5,Инна
Пермь,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@58.0076171,56.1804834,17z/data=!4m8!3m7!1s0x43e8c0d1099df8a3:0x7ff65844c2064aef!8m2!3d58.0076171!4d56.1804834!9m1!1b1!16s%2Fg%2F12hkjqd1p?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",улица Сухобруса 27,,,,,1,,1,,,,,,,,1,1,5,1,1,5,1,1,5,,1,1,5,0,0,0,,,,0,,0,0,0,0,0,,0,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,1,1,,1,5,,,,1,5,1,1,1,2,5,,,,2,5,1,0,,2,5,1,1,2,3,5,1,1,1,4,5,1,0,4,5,1,1,5,5,,,5,5,1,,5,5,,,5,5,,5,5,,5,5,Алексей,,5,5,Алексей,1,6,5,Алексей,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,1,7,5,Инна,,7,5,,1,8,5,Инна,,8,5,Инна,,8,5,Инна
Тюмень,"https://www.google.ru/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@57.17178,65.510733,17z/data=!4m8!3m7!1s0x43bbe3c6726247e5:0xfcc092b4f35505f1!8m2!3d57.17178!4d65.510733!9m1!1b1!16s%2Fg%2F12hp6d7tk?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","улица Коммунистическая, 16А",,,,1,,1,1,,,,,1,,5,1,1,5,2,2,5,2,1,5,,2,1,5,2,1,5,,,,2,5,0,0,0,2,5,,0,,2,0,,,,2,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,,0,нет,1,1,1,1,5,1,1,1,2,5,,,,2,5,1,0,,2,5,1,1,2,3,5,1,0,,3,5,1,0,3,5,,,3,5,,,3,5,1,,3,5,,1,4,5,,4,5,,4,5,Алексей,,4,5,Алексей,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,1,6,5,Инна,,6,5,,1,7,5,Инна,,7,5,Инна,,7,5,Инна
Набережные Челны,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@55.7410252,52.4141371,17z/data=!4m8!3m7!1s0x43e01f37966ad621:0x2b73f65ec6ef22ff!8m2!3d55.7410252!4d52.4141371!9m1!1b1!16s%2Fg%2F11t33p52d0?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Хасана Туфана, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,1,1,,1,0,1,5,1,1,2,5,1,,2,5,,,2,5,,2,5,,2,5,Алексей,1,3,5,Инна,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Инна,,4,5,,,4,5,,,4,5,Инна,,4,5,Инна
Сургут,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@61.2545388,73.401379,17z/data=!4m8!3m7!1s0x43739745d3a30605:0x9e76f1a1c0d2990f!8m2!3d61.2545388!4d73.401379!9m1!1b1!16s%2Fg%2F12hkljp4y?hl=ru&authuser=2&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица 50 лет ВЛКСМ, 1",,,,,1,,1,,,,,,,,1,1,5,1,1,5,1,1,5,,1,1,5,1,1,5,,,,1,5,0,0,0,1,5,,0,,1,0,,,,1,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,,0,нет,1,1,1,1,5,1,1,1,2,5,,,,2,5,1,0,,2,5,1,1,2,3,5,1,2,2,5,5,1,0,5,5,,,5,5,,,5,5,1,,5,5,,,5,5,,5,5,,5,5,Алексей,,5,5,Алексей,1,6,5,Алексей,,6,5,,,6,5,,,6,5,Алексей,,6,,Иван,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,1,7,5,Инна,,7,5,,,7,5,,,7,5,,,7,5,Инна
Вологда,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@59.202033,39.8252589,17z/data=!4m8!3m7!1s0x46ae970382a7ef05:0xb4c94c28071edd8a!8m2!3d59.202033!4d39.8252589!9m1!1b1!16s%2Fg%2F11s3fxytlz?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица ​Ленинградская, 150а",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,,0,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,0,,1,0,0,,1,0,0,,,,0,,1,,0,,,0,,,0,,Алексей,,0,,Инна,1,1,5,Инна,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,1,2,5,Инна,,2,5,,,2,5,,,2,5,,,2,5,
Курган,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%83%D1%80%D0%B0%D0%BB/@55.430298,65.341045,17z/data=!4m8!3m7!1s0x43b7bda152f73c37:0x6869ced0e869c92c!8m2!3d55.430298!4d65.341045!9m1!1b1!16s%2Fg%2F11t33mq5_2?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Куйбышева, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,1,1,,1,0,1,5,1,1,2,5,1,,2,5,,,2,5,,2,5,,2,5,Алексей,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Инна,,4,5,,,4,5,,,4,5,,,4,5,
Казахстан,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,101,5,0,0,101,5,3,0,101,5,,103,5,2,105,5,,4,109,5,,5,114,5,,0,114,5,,1,115,5,,0,115,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,0,122,5,,3,125,5,,0,125,5,,,125,5,,,125,5,
Алматы,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@43.2670087,76.9323309,17z/data=!4m8!3m7!1s0x388369b8673d564d:0xd5ee04392b7b47f4!8m2!3d43.2670087!4d76.9323309!9m1!1b1!16s%2Fg%2F11t5x98jkj?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Сакена Сейфуллина, 404/67",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,5,2,2,2,3,5,1,1,,4,5,,,,4,5,,,,3,5,2,2,2,5,5,,,,5,5,,,,5,5,1,1,,6,5,1,1,1,7,5,,,,7,5,1,0,,7,5,1,1,1,8,5,1,1,1,9,5,,,,9,5,1,0,,9,5,1,0,1,9,5,1,0,,9,5,1,0,9,5,,,9,5,,,9,5,,,9,5,1,,9,5,1,10,5,,10,5,-,,10,5,Инна,1,11,5,Инна,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,1,12,5,Инна,,12,5,,,12,5,,,12,5,
Астана,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@51.1880083,71.4462756,17z/data=!4m8!3m7!1s0x424581e771c0b72d:0x22fda4b6d8f0dc8c!8m2!3d51.1880083!4d71.4462756!9m1!1b1!16s%2Fg%2F11t6y6jyz9?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Жанажол, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,2,0,2,5,,1,,3,5,,,,3,5,1,0,2,2,5,2,2,2,4,5,,,,4,5,1,1,1,5,5,1,1,,6,5,1,1,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,1,,7,5,1,8,5,,8,5,-,,8,5,Инна,,8,5,Инна,,8,5,Алексей,,8,5,Алексей,,8,5,Алексей,,8,5,Иван,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,1,9,5,Инна,,9,5,,,9,5,,,9,5,
Шымкент,"https://www.google.ru/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@42.3331379,69.6027644,17z/data=!4m8!3m7!1s0x38a91d93ca851f95:0x7f0345d5b1356c2e!8m2!3d42.3331379!4d69.6027644!9m1!1b1!16s%2Fg%2F11qbbcn2kp?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","проспект Кунаева, 59",,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,3,0,5,1,1,1,4,5,2,2,0,6,5,1,1,,7,5,1,1,,8,5,,,,2,5,2,2,2,4,5,,,,4,5,1,1,1,5,5,,,,5,5,2,2,1,7,5,1,0,1,7,5,,,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,1,,7,5,,7,5,,7,5,Инна,,7,5,Инна,,7,5,Инна,,7,5,Алексей,1,8,5,Алексей,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,1,9,5,Инна,,9,5,,,9,5,,,9,5,
Актобе,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@50.2886464,57.1571205,17z/data=!4m8!3m7!1s0x418223033bd68ee1:0x2f76d397deee7e40!8m2!3d50.2886464!4d57.1571205!9m1!1b1!16s%2Fg%2F11s462bdk3?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Алии Молдагуловой, 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,5,,0,0,1,5,1,1,,2,5,1,1,,3,5,1,1,3,4,5,,,,3,5,2,2,,5,5,,,,5,5,1,1,,6,5,1,1,2,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,1,0,7,5,1,0,7,5,,,7,5,,,7,5,,7,5,,7,5,Алексей,1,8,5,Инна,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,
Караганда,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@49.8046406,73.0881897,17z/data=!4m8!3m7!1s0x424347d5a792d297:0x1311b5c8aa5a2033!8m2!3d49.8046406!4d73.0881897!9m1!1b1!16s%2Fg%2F11t51z5zq_?hl=ru&authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Бухар Жырау, 49/6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,2,,3,5,,,,3,5,1,1,3,4,5,,,,3,5,2,2,,5,5,,,,5,5,1,1,,6,5,1,1,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,,7,5,Иван,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
